buf
21
28
28
36
28
28
28
52
28
52
52
52
52
21
53
28
28
21
21
21
21
28
21
28
52
21
28
21
52
52
21
52
52
28
28
28
28
21
21
21
52
52
28
52
52
21
28
28
28
21
21
52
21
21
21
28
28
21
53
21
28
28
28
52
52
21
28
52
52
28
21
21
52
21
60
28
28
52
52
28
52
21
60
52
52
52
52
60
21
21
60
52
28
52
52
52
21
21
21
52
53
28
28
28
36
52
21
29
52
60
52
21
28
52
52
52
52
17
28
48
28
52
28
29
60
21
21
28
52
21
28
28
52
53
52
52
28
28
21
21
21
21
28
52
52
28
21
52
28
28
21
52
28
28
52
52
52
52
24
21
21
28
21
52
21
21
52
21
52
52
21
28
52
53
21
28
52
21
21
21
52
52
52
28
28
28
28
28
52
52
21
21
60
28
28
52
21
28
52
12
21
52
52
52
29
28
28
52
21
52
21
52
21
28
60
21
52
52
21
52
21
21
52
60
28
52
21
28
53
52
21
52
28
52
21
28
60
21
20
28
28
28
28
60
52
28
21
12
52
21
28
28
52
21
21
53
52
21
21
28
28
60
28
28
36
24
28
52
21
52
52
21
21
21
52
52
21
60
21
5
52
28
28
21
52
29
28
52
21
60
48
12
52
28
28
52
48
21
21
28
28
52
28
52
28
21
28
28
28
52
21
17
21
21
52
29
28
28
52
21
21
29
17
52
52
21
21
28
52
29
21
21
28
28
28
28
21
52
21
28
52
52
52
28
28
29
52
28
36
52
21
52
53
52
36
52
28
21
52
21
28
17
24
52
21
28
52
52
21
28
52
52
21
28
28
28
52
21
21
53
28
52
28
28
28
52
53
28
21
28
52
28
28
52
29
52
21
52
52
52
52
21
21
21
28
21
28
29
53
28
21
21
52
52
52
28
52
28
21
24
52
52
17
52
28
28
52
52
28
28
52
21
28
28
21
24
12
28
52
21
28
21
28
52
52
21
21
21
28
28
28
21
52
28
21
28
28
28
28
60
28
28
28
52
28
28
52
52
24
52
21
52
28
52
21
52
28
3
52
21
52
52
52
28
28
28
60
28
52
20
21
28
28
28
12
52
21
28
28
53
21
21
21
52
21
28
28
52
52
21
28
52
5
52
28
21
28
21
21
21
52
28
28
52
28
28
21
52
52
52
52
28
52
21
21
28
20
21
21
52
28
28
28
53
28
52
28
29
52
52
28
29
52
21
52
28
52
21
21
52
21
52
52
52
28
21
48
52
12
21
28
52
53
21
60
52
52
21
60
52
21
28
21
28
28
53
28
52
52
24
21
52
48
28
21
21
21
52
28
28
52
29
28
28
21
52
21
52
53
52
28
21
52
21
28
52
12
21
52
12
21
52
21
52
28
28
52
29
52
21
52
48
21
21
52
28
60
21
24
28
21
21
21
28
21
28
21
52
21
28
52
28
28
28
28
28
52
28
21
21
21
21
52
52
28
52
21
28
21
60
52
21
28
21
28
52
52
52
24
28
52
28
52
28
52
29
21
28
5
28
21
21
28
53
21
29
21
52
28
28
52
28
21
21
52
21
28
28
53
21
52
21
21
29
21
21
21
28
52
21
21
21
52
28
28
52
28
21
21
60
28
54
52
28
52
21
28
28
28
52
28
21
28
52
60
52
28
52
28
37
48
60
29
52
21
52
52
28
21
28
28
52
21
28
52
52
21
52
52
28
5
29
52
29
52
21
52
28
21
21
28
53
21
28
28
29
28
28
28
21
52
28
28
29
21
21
21
28
21
52
53
52
52
21
17
21
52
52
52
21
21
52
60
28
21
28
17
52
60
21
28
28
52
21
52
52
21
21
28
52
28
28
52
29
28
28
21
21
21
21
52
24
60
21
28
28
21
52
21
52
21
29
28
21
29
48
21
52
28
60
52
52
52
21
60
28
28
52
29
21
21
52
52
21
52
17
52
21
21
52
52
28
21
17
53
53
52
52
28
52
28
52
52
28
52
28
28
28
21
21
17
52
28
21
52
52
24
52
52
52
28
21
28
17
28
28
28
52
52
21
28
36
28
21
28
28
29
53
28
52
28
21
21
52
52
5
52
28
21
21
28
28
53
21
28
52
52
21
21
5
28
21
52
28
28
28
28
52
21
28
21
52
52
52
28
52
21
28
28
28
21
28
52
28
28
10
21
52
21
21
52
52
28
52
21
21
21
21
21
28
28
52
28
53
52
28
28
29
53
28
17
36
20
52
52
53
28
52
28
21
52
52
28
53
28
52
52
52
21
28
52
21
21
52
28
36
29
21
28
52
17
52
52
21
21
52
28
52
