x,count,prob
153,1,0.001
279,1,0.001
433,1,0.001
455,1,0.001
606,1,0.001
959,1,0.001
1039,1,0.001
1135,1,0.001
1310,1,0.001
1342,1,0.001
1369,1,0.001
1547,1,0.001
1679,2,0.002
2904,1,0.001
3518,1,0.001
3902,1,0.001
4415,1,0.001
4539,1,0.001
4819,1,0.001
5278,1,0.001
6127,1,0.001
6331,1,0.001
6333,1,0.001
6434,1,0.001
6543,1,0.001
6608,1,0.001
6889,1,0.001
7638,1,0.001
7856,2,0.002
8150,1,0.001
8652,1,0.001
8701,1,0.001
9213,1,0.001
9285,1,0.001
9485,1,0.001
9526,1,0.001
9663,1,0.001
9808,1,0.001
10711,1,0.001
11229,1,0.001
11336,1,0.001
12461,1,0.001
12623,1,0.001
12723,1,0.001
12783,1,0.001
13274,1,0.001
13455,1,0.001
13491,1,0.001
13596,1,0.001
13776,1,0.001
13815,1,0.001
14000,1,0.001
14365,1,0.001
14787,1,0.001
14792,1,0.001
14806,1,0.001
14812,1,0.001
14815,1,0.001
15037,1,0.001
15087,1,0.001
15389,1,0.001
15451,1,0.001
15643,1,0.001
15754,1,0.001
15826,1,0.001
15849,1,0.001
16392,1,0.001
16616,1,0.001
16696,1,0.001
16783,1,0.001
16824,1,0.001
16882,1,0.001
16942,1,0.001
17291,1,0.001
17298,1,0.001
17326,1,0.001
17421,1,0.001
17441,1,0.001
17471,1,0.001
17528,1,0.001
17679,1,0.001
17883,2,0.002
18028,1,0.001
18029,1,0.001
18227,1,0.001
18311,1,0.001
18587,1,0.001
19381,1,0.001
19642,1,0.001
19727,1,0.001
20127,1,0.001
20455,1,0.001
20492,1,0.001
20751,1,0.001
20879,1,0.001
21306,1,0.001
21519,1,0.001
22080,1,0.001
22493,1,0.001
22509,1,0.001
22988,1,0.001
23037,1,0.001
23251,1,0.001
24625,1,0.001
24832,1,0.001
25084,1,0.001
25198,1,0.001
25341,1,0.001
25551,1,0.001
25621,1,0.001
25966,1,0.001
26083,1,0.001
26120,1,0.001
26228,1,0.001
26246,1,0.001
26254,1,0.001
26288,1,0.001
26294,1,0.001
26331,1,0.001
26544,1,0.001
26960,1,0.001
27029,1,0.001
27607,1,0.001
28685,1,0.001
28811,1,0.001
29149,1,0.001
29860,1,0.001
29973,1,0.001
30001,1,0.001
30090,1,0.001
30095,2,0.002
30129,1,0.001
30447,1,0.001
30672,1,0.001
30689,1,0.001
