x,count,prob
5,1,0.001
65,1,0.001
77,1,0.001
89,1,0.001
94,1,0.001
142,1,0.001
143,1,0.001
159,1,0.001
162,1,0.001
171,1,0.001
179,1,0.001
248,1,0.001
249,1,0.001
267,1,0.001
291,1,0.001
327,1,0.001
362,1,0.001
386,1,0.001
390,1,0.001
398,2,0.002
414,1,0.001
417,1,0.001
418,1,0.001
426,1,0.001
434,1,0.001
442,1,0.001
458,2,0.002
463,1,0.001
517,1,0.001
641,1,0.001
643,2,0.002
650,1,0.001
653,1,0.001
670,2,0.002
706,1,0.001
733,2,0.002
778,1,0.001
797,1,0.001
801,1,0.001
802,1,0.001
818,1,0.001
821,1,0.001
858,1,0.001
861,1,0.001
862,1,0.001
874,2,0.002
898,1,0.001
909,1,0.001
934,1,0.001
971,1,0.001
1036,1,0.001
1038,1,0.001
1050,1,0.001
1054,1,0.001
1117,1,0.001
1125,1,0.001
1146,1,0.001
1570,1,0.001
1602,1,0.001
1607,1,0.001
1803,1,0.001
1806,1,0.001
1887,1,0.001
2182,1,0.001
2201,1,0.001
2213,1,0.001
2218,1,0.001
2226,1,0.001
2277,1,0.001
2290,1,0.001
2310,1,0.001
2316,1,0.001
2437,1,0.001
2462,1,0.001
2478,1,0.001
2505,1,0.001
2580,1,0.001
2701,1,0.001
2725,1,0.001
2746,1,0.001
2763,1,0.001
2781,1,0.001
2786,1,0.001
2830,1,0.001
2842,1,0.001
2893,1,0.001
2910,2,0.002
2911,1,0.001
3147,1,0.001
3175,1,0.001
3242,1,0.001
3323,1,0.001
3342,1,0.001
3370,1,0.001
3469,1,0.001
3485,1,0.001
3590,1,0.001
3598,1,0.001
3642,1,0.001
3695,1,0.001
3743,1,0.001
3789,1,0.001
3878,1,0.001
3917,1,0.001
3999,1,0.001
4034,1,0.001
4174,1,0.001
4182,1,0.001
4196,1,0.001
4202,1,0.001
4251,1,0.001
4253,1,0.001
4333,1,0.001
4421,1,0.001
4482,1,0.001
4494,2,0.002
4511,1,0.001
4538,1,0.001
4550,1,0.001
4574,1,0.001
4737,1,0.001
4743,1,0.001
4749,2,0.002
4750,3,0.0029
4758,1,0.001
4777,2,0.002
4778,1,0.001
4810,1,0.001
4842,1,0.001
4850,1,0.001
4867,1,0.001
4892,1,0.001
4922,1,0.001
4931,1,0.001
4933,1,0.001
4942,1,0.001
4992,1,0.001
5006,1,0.001
5026,1,0.001
5034,1,0.001
5085,1,0.001
5133,1,0.001
5150,1,0.001
5221,1,0.001
5260,1,0.001
5534,1,0.001
5638,1,0.001
5645,1,0.001
5706,1,0.001
5902,1,0.001
5930,1,0.001
5961,1,0.001
6622,1,0.001
6789,1,0.001
6813,1,0.001
6890,1,0.001
6989,1,0.001
8015,1,0.001
8222,1,0.001
8269,1,0.001
8299,1,0.001
8322,1,0.001
8333,1,0.001
8334,1,0.001
8345,1,0.001
8349,1,0.001
8350,1,0.001
8427,1,0.001
8462,1,0.001
8589,1,0.001
8590,1,0.001
8610,1,0.001
8669,1,0.001
8833,1,0.001
8846,1,0.001
8861,1,0.001
8926,1,0.001
8947,1,0.001
8972,1,0.001
8987,1,0.001
9034,1,0.001
9054,1,0.001
9196,1,0.001
9227,1,0.001
9479,1,0.001
9550,1,0.001
9669,1,0.001
9677,1,0.001
9882,1,0.001
9986,1,0.001
10014,1,0.001
10126,2,0.002
10158,1,0.001
11278,1,0.001
11392,1,0.001
11403,1,0.001
11657,1,0.001
11918,1,0.001
12293,1,0.001
12357,1,0.001
12382,1,0.001
12389,1,0.001
12418,1,0.001
12441,1,0.001
12470,1,0.001
12569,1,0.001
12622,1,0.001
12634,1,0.001
12636,1,0.001
12657,1,0.001
12683,1,0.001
12695,1,0.001
12698,1,0.001
12702,1,0.001
12706,1,0.001
12710,1,0.001
12722,1,0.001
12742,1,0.001
12835,1,0.001
12838,1,0.001
12929,2,0.002
12932,1,0.001
12938,1,0.001
12941,1,0.001
12942,1,0.001
12958,1,0.001
12960,1,0.001
12970,1,0.001
12998,1,0.001
13006,1,0.001
13021,1,0.001
13029,1,0.001
13066,1,0.001
13070,1,0.001
13122,1,0.001
13131,1,0.001
13134,1,0.001
13213,1,0.001
13337,1,0.001
13784,1,0.001
13790,1,0.001
13830,1,0.001
13845,1,0.001
13983,1,0.001
14110,1,0.001
14121,1,0.001
14182,1,0.001
14200,1,0.001
14350,1,0.001
14366,1,0.001
14406,1,0.001
14414,1,0.001
14476,1,0.001
14493,1,0.001
14502,1,0.001
14511,1,0.001
14549,1,0.001
14670,1,0.001
14725,1,0.001
14749,1,0.001
14762,1,0.001
14786,1,0.001
14797,1,0.001
14878,1,0.001
14978,2,0.002
14982,1,0.001
15018,1,0.001
15090,1,0.001
15098,1,0.001
15109,1,0.001
15118,2,0.002
15123,1,0.001
15133,1,0.001
15146,1,0.001
15148,1,0.001
15234,1,0.001
15242,1,0.001
15262,1,0.001
15273,1,0.001
15474,1,0.001
15502,1,0.001
15510,1,0.001
15517,1,0.001
15553,1,0.001
15580,1,0.001
15786,1,0.001
15874,1,0.001
15879,1,0.001
15902,2,0.002
15919,2,0.002
15936,1,0.001
15950,2,0.002
15965,2,0.002
16005,1,0.001
16014,2,0.002
16015,2,0.002
16031,1,0.001
16034,1,0.001
16079,1,0.001
16094,1,0.001
16134,1,0.001
16143,1,0.001
16153,1,0.001
16158,1,0.001
16161,1,0.001
16295,1,0.001
16362,1,0.001
16421,1,0.001
16430,1,0.001
16458,1,0.001
16461,1,0.001
16462,1,0.001
16472,1,0.001
16479,1,0.001
16490,1,0.001
16506,1,0.001
16518,1,0.001
16522,1,0.001
16525,1,0.001
16527,1,0.001
16530,1,0.001
16542,1,0.001
16549,1,0.001
16554,1,0.001
16558,1,0.001
16578,1,0.001
16591,1,0.001
16634,1,0.001
16646,1,0.001
16653,1,0.001
16654,1,0.001
16679,1,0.001
16705,1,0.001
16734,1,0.001
16738,2,0.002
16749,1,0.001
16774,1,0.001
16779,1,0.001
16781,2,0.002
16783,1,0.001
16796,1,0.001
16798,1,0.001
16799,1,0.001
16834,2,0.002
16862,1,0.001
16974,1,0.001
16981,1,0.001
17034,2,0.002
17036,1,0.001
17037,1,0.001
17039,1,0.001
17045,1,0.001
17050,1,0.001
17054,1,0.001
17055,1,0.001
17061,1,0.001
17067,1,0.001
17094,1,0.001
17095,1,0.001
17101,2,0.002
17118,2,0.002
17123,1,0.001
17174,1,0.001
17183,1,0.001
17186,1,0.001
17199,1,0.001
17210,1,0.001
17218,1,0.001
17230,3,0.0029
17237,1,0.001
17246,1,0.001
17249,1,0.001
17258,2,0.002
17278,1,0.001
17338,1,0.001
17418,1,0.001
17438,1,0.001
17464,1,0.001
17466,1,0.001
17935,1,0.001
17957,1,0.001
17986,1,0.001
18023,1,0.001
18030,1,0.001
18121,1,0.001
18206,1,0.001
18433,1,0.001
18436,1,0.001
18446,2,0.002
18454,1,0.001
18472,1,0.001
18478,1,0.001
18501,1,0.001
18525,1,0.001
18537,1,0.001
18561,1,0.001
18571,1,0.001
18575,1,0.001
18589,1,0.001
18590,1,0.001
18591,1,0.001
18602,1,0.001
18603,1,0.001
18606,1,0.001
18616,1,0.001
18634,1,0.001
18638,1,0.001
18669,1,0.001
18762,1,0.001
18818,1,0.001
18830,1,0.001
18845,1,0.001
18846,2,0.002
18858,1,0.001
18882,1,0.001
18902,1,0.001
18917,1,0.001
19073,1,0.001
19074,1,0.001
19077,1,0.001
19082,2,0.002
19086,1,0.001
19091,1,0.001
19094,1,0.001
19100,1,0.001
19101,1,0.001
19111,1,0.001
19113,1,0.001
19126,1,0.001
19142,1,0.001
19161,1,0.001
19164,1,0.001
19181,1,0.001
19210,1,0.001
19228,1,0.001
19230,1,0.001
19239,1,0.001
19258,1,0.001
19265,1,0.001
19270,1,0.001
19279,1,0.001
19294,1,0.001
19306,1,0.001
19326,1,0.001
19342,1,0.001
19365,1,0.001
19422,1,0.001
19558,1,0.001
19597,1,0.001
19807,1,0.001
19982,1,0.001
19993,1,0.001
20003,1,0.001
20027,1,0.001
20063,1,0.001
20106,1,0.001
20130,1,0.001
20170,1,0.001
20237,2,0.002
20255,1,0.001
20494,1,0.001
20511,1,0.001
20544,1,0.001
20557,2,0.002
20567,1,0.001
20578,1,0.001
20583,1,0.001
20590,1,0.001
20594,1,0.001
20607,1,0.001
20609,1,0.001
20610,2,0.002
20613,1,0.001
20614,1,0.001
20618,1,0.001
20621,2,0.002
20622,2,0.002
20623,1,0.001
20634,1,0.001
20637,1,0.001
20638,2,0.002
20639,2,0.002
20642,2,0.002
20643,2,0.002
20644,1,0.001
20650,1,0.001
20653,1,0.001
20662,1,0.001
20726,1,0.001
20734,1,0.001
20745,1,0.001
20750,1,0.001
20810,1,0.001
20813,1,0.001
20814,1,0.001
20831,2,0.002
20842,2,0.002
20862,1,0.001
20865,1,0.001
20866,3,0.0029
20869,1,0.001
20870,1,0.001
20874,1,0.001
20876,1,0.001
20878,1,0.001
20889,2,0.002
20893,3,0.0029
20894,1,0.001
20895,1,0.001
20902,1,0.001
20906,2,0.002
20910,1,0.001
20913,1,0.001
20914,1,0.001
20922,1,0.001
20934,1,0.001
20938,1,0.001
20941,1,0.001
20947,1,0.001
20950,1,0.001
20952,1,0.001
20958,1,0.001
20989,1,0.001
20995,1,0.001
20999,2,0.002
21123,1,0.001
21125,1,0.001
21126,1,0.001
21127,1,0.001
21129,1,0.001
21130,1,0.001
21131,1,0.001
21132,1,0.001
21133,1,0.001
21134,3,0.0029
21146,1,0.001
21149,1,0.001
21150,3,0.0029
21151,1,0.001
21155,1,0.001
21162,2,0.002
21166,2,0.002
21178,1,0.001
21186,1,0.001
21189,1,0.001
21191,1,0.001
21194,1,0.001
21195,1,0.001
21197,1,0.001
21198,2,0.002
21205,1,0.001
21208,1,0.001
21214,1,0.001
21250,2,0.002
21251,1,0.001
21253,1,0.001
21255,2,0.002
21260,1,0.001
21261,2,0.002
21262,5,0.0049
21263,1,0.001
21277,1,0.001
21283,1,0.001
21285,1,0.001
21289,1,0.001
21290,2,0.002
21314,2,0.002
21318,1,0.001
21322,1,0.001
21324,1,0.001
21325,5,0.0049
21326,1,0.001
21327,1,0.001
21341,1,0.001
21342,1,0.001
21345,1,0.001
21346,3,0.0029
21353,1,0.001
21354,1,0.001
21355,1,0.001
21363,1,0.001
21377,1,0.001
21386,2,0.002
21389,1,0.001
21390,3,0.0029
21397,1,0.001
21398,1,0.001
21402,2,0.002
21405,2,0.002
21406,3,0.0029
21407,2,0.002
21418,1,0.001
21432,1,0.001
21434,1,0.001
21438,1,0.001
21450,1,0.001
