x,count,prob
0,1,0.001
4,1,0.001
11,4,0.0039
12,2,0.002
15,3,0.0029
20,1,0.001
23,1,0.001
24,1,0.001
27,4,0.0039
28,2,0.002
30,3,0.0029
31,4,0.0039
37,1,0.001
47,2,0.002
48,1,0.001
54,1,0.001
56,1,0.001
59,3,0.0029
60,1,0.001
62,1,0.001
63,1,0.001
72,1,0.001
87,1,0.001
93,1,0.001
95,1,0.001
123,1,0.001
135,1,0.001
139,1,0.001
140,2,0.002
143,3,0.0029
147,1,0.001
152,2,0.002
154,1,0.001
155,4,0.0039
167,1,0.001
168,1,0.001
172,1,0.001
183,1,0.001
184,1,0.001
186,1,0.001
190,1,0.001
191,3,0.0029
195,1,0.001
199,1,0.001
203,1,0.001
206,1,0.001
210,1,0.001
211,1,0.001
212,2,0.002
236,1,0.001
256,3,0.0029
257,3,0.0029
258,1,0.001
259,5,0.0049
260,3,0.0029
261,1,0.001
262,3,0.0029
263,14,0.0137
264,6,0.0059
267,13,0.0127
268,9,0.0088
269,2,0.002
270,4,0.0039
271,32,0.0312
272,2,0.002
273,3,0.0029
274,2,0.002
275,8,0.0078
276,9,0.0088
278,5,0.0049
279,20,0.0195
280,8,0.0078
282,2,0.002
283,16,0.0156
284,14,0.0137
285,3,0.0029
286,7,0.0068
287,33,0.0322
288,2,0.002
290,1,0.001
291,5,0.0049
292,1,0.001
295,5,0.0049
296,2,0.002
299,3,0.0029
300,4,0.0039
301,2,0.002
302,1,0.001
303,9,0.0088
310,1,0.001
312,3,0.0029
314,4,0.0039
315,7,0.0068
316,8,0.0078
318,1,0.001
319,19,0.0186
320,1,0.001
323,3,0.0029
324,1,0.001
326,1,0.001
327,1,0.001
328,1,0.001
331,2,0.002
334,1,0.001
335,6,0.0059
338,1,0.001
339,3,0.0029
340,2,0.002
343,1,0.001
346,1,0.001
348,2,0.002
351,4,0.0039
355,1,0.001
356,1,0.001
364,2,0.002
366,1,0.001
375,1,0.001
376,1,0.001
379,1,0.001
380,3,0.0029
383,1,0.001
387,3,0.0029
388,1,0.001
390,2,0.002
391,2,0.002
394,1,0.001
395,2,0.002
398,1,0.001
399,2,0.002
400,2,0.002
403,1,0.001
404,1,0.001
407,6,0.0059
411,1,0.001
412,1,0.001
413,1,0.001
414,1,0.001
415,6,0.0059
419,1,0.001
420,1,0.001
423,1,0.001
427,1,0.001
431,1,0.001
436,1,0.001
439,1,0.001
442,1,0.001
443,3,0.0029
444,3,0.0029
446,1,0.001
447,5,0.0049
459,1,0.001
463,2,0.002
464,1,0.001
467,1,0.001
471,2,0.002
475,2,0.002
480,1,0.001
487,1,0.001
495,1,0.001
512,1,0.001
515,5,0.0049
518,1,0.001
519,6,0.0059
520,2,0.002
523,3,0.0029
524,2,0.002
527,6,0.0059
530,1,0.001
531,3,0.0029
534,2,0.002
535,5,0.0049
539,4,0.0039
542,1,0.001
543,8,0.0078
547,1,0.001
551,1,0.001
555,5,0.0049
556,3,0.0029
557,1,0.001
559,3,0.0029
562,1,0.001
564,1,0.001
568,1,0.001
571,1,0.001
572,1,0.001
575,4,0.0039
583,1,0.001
591,3,0.0029
593,1,0.001
596,1,0.001
598,1,0.001
603,1,0.001
607,1,0.001
615,1,0.001
636,1,0.001
639,1,0.001
640,1,0.001
642,1,0.001
643,3,0.0029
644,2,0.002
646,3,0.0029
647,7,0.0068
651,6,0.0059
652,3,0.0029
654,2,0.002
655,8,0.0078
656,2,0.002
658,1,0.001
659,1,0.001
660,2,0.002
663,3,0.0029
664,2,0.002
666,2,0.002
667,10,0.0098
668,1,0.001
669,1,0.001
671,8,0.0078
675,2,0.002
678,1,0.001
679,1,0.001
683,2,0.002
684,3,0.0029
685,2,0.002
687,4,0.0039
688,2,0.002
693,1,0.001
694,1,0.001
695,1,0.001
696,5,0.0049
697,1,0.001
698,1,0.001
699,5,0.0049
700,4,0.0039
701,2,0.002
702,5,0.0049
703,6,0.0059
708,2,0.002
709,1,0.001
711,1,0.001
715,1,0.001
716,1,0.001
717,1,0.001
719,3,0.0029
722,1,0.001
728,2,0.002
731,2,0.002
732,2,0.002
733,1,0.001
734,1,0.001
735,4,0.0039
739,1,0.001
740,1,0.001
756,2,0.002
759,3,0.0029
763,1,0.001
767,2,0.002
768,3,0.0029
771,6,0.0059
772,2,0.002
774,1,0.001
775,5,0.0049
776,1,0.001
779,3,0.0029
780,1,0.001
781,1,0.001
782,2,0.002
783,13,0.0127
784,3,0.0029
787,5,0.0049
788,1,0.001
789,1,0.001
790,2,0.002
791,9,0.0088
792,4,0.0039
794,5,0.0049
795,9,0.0088
796,3,0.0029
797,2,0.002
798,3,0.0029
799,17,0.0166
803,2,0.002
804,1,0.001
807,1,0.001
808,1,0.001
815,2,0.002
819,3,0.0029
822,1,0.001
823,4,0.0039
824,1,0.001
826,3,0.0029
827,5,0.0049
828,1,0.001
829,1,0.001
830,3,0.0029
831,8,0.0078
835,1,0.001
836,3,0.0029
840,1,0.001
843,2,0.002
844,1,0.001
847,3,0.0029
848,1,0.001
851,2,0.002
852,1,0.001
853,1,0.001
854,3,0.0029
855,1,0.001
856,1,0.001
859,3,0.0029
860,1,0.001
861,1,0.001
863,5,0.0049
875,1,0.001
878,1,0.001
879,1,0.001
888,1,0.001
891,1,0.001
895,2,0.002
899,5,0.0049
900,3,0.0029
902,1,0.001
903,9,0.0088
904,2,0.002
907,2,0.002
908,3,0.0029
909,2,0.002
910,2,0.002
911,5,0.0049
912,3,0.0029
915,4,0.0039
916,4,0.0039
919,8,0.0078
920,1,0.001
921,2,0.002
922,1,0.001
923,7,0.0068
924,4,0.0039
925,2,0.002
926,2,0.002
927,9,0.0088
932,1,0.001
935,1,0.001
941,1,0.001
943,1,0.001
946,1,0.001
949,1,0.001
951,1,0.001
952,2,0.002
956,1,0.001
957,2,0.002
958,1,0.001
959,9,0.0088
960,1,0.001
975,2,0.002
976,1,0.001
981,1,0.001
982,1,0.001
987,1,0.001
991,1,0.001
1000,1,0.001
1006,1,0.001
