x,count,prob
0,2,0.002
6,1,0.001
8,2,0.002
9,2,0.002
10,4,0.0039
17,6,0.0059
18,3,0.0029
20,2,0.002
21,1,0.001
22,4,0.0039
23,2,0.002
24,3,0.0029
25,1,0.001
26,6,0.0059
28,1,0.001
29,3,0.0029
30,1,0.001
34,1,0.001
43,1,0.001
55,2,0.002
56,1,0.001
61,3,0.0029
64,3,0.0029
65,1,0.001
67,2,0.002
68,1,0.001
71,1,0.001
72,2,0.002
74,1,0.001
75,1,0.001
80,2,0.002
81,4,0.0039
82,4,0.0039
83,1,0.001
84,10,0.0098
85,5,0.0049
86,10,0.0098
87,4,0.0039
88,1,0.001
89,6,0.0059
90,3,0.0029
91,3,0.0029
92,4,0.0039
93,2,0.002
96,1,0.001
102,1,0.001
103,1,0.001
104,1,0.001
105,1,0.001
106,1,0.001
107,2,0.002
109,2,0.002
112,2,0.002
113,3,0.0029
114,1,0.001
116,4,0.0039
117,4,0.0039
118,4,0.0039
120,3,0.0029
122,4,0.0039
123,1,0.001
125,1,0.001
126,1,0.001
128,6,0.0059
129,6,0.0059
131,1,0.001
132,4,0.0039
133,1,0.001
134,5,0.0049
135,3,0.0029
136,12,0.0117
137,7,0.0068
138,14,0.0137
139,5,0.0049
140,1,0.001
141,3,0.0029
143,2,0.002
144,4,0.0039
145,5,0.0049
146,4,0.0039
148,10,0.0098
149,7,0.0068
150,19,0.0186
152,9,0.0088
153,8,0.0078
154,8,0.0078
155,2,0.002
156,1,0.001
157,2,0.002
158,2,0.002
160,1,0.001
162,1,0.001
164,1,0.001
166,2,0.002
168,1,0.001
169,1,0.001
173,1,0.001
175,2,0.002
178,1,0.001
179,1,0.001
181,2,0.002
186,1,0.001
192,1,0.001
200,1,0.001
208,2,0.002
209,1,0.001
212,4,0.0039
213,4,0.0039
214,1,0.001
216,5,0.0049
217,1,0.001
218,1,0.001
220,1,0.001
221,1,0.001
224,2,0.002
225,2,0.002
226,1,0.001
228,6,0.0059
229,1,0.001
230,4,0.0039
231,1,0.001
232,5,0.0049
233,3,0.0029
