x,count,prob
125,1,0.001
171,1,0.001
226,1,0.001
298,1,0.001
352,1,0.001
366,1,0.001
371,1,0.001
389,1,0.001
534,1,0.001
582,1,0.001
931,1,0.001
1323,1,0.001
1496,1,0.001
1667,1,0.001
1710,1,0.001
1767,1,0.001
1844,1,0.001
2912,1,0.001
3161,1,0.001
3459,1,0.001
3461,1,0.001
3474,1,0.001
3535,1,0.001
3831,1,0.001
4228,1,0.001
4244,1,0.001
4681,1,0.001
4799,1,0.001
4848,1,0.001
5383,1,0.001
5511,1,0.001
5714,1,0.001
6061,1,0.001
6474,1,0.001
6655,1,0.001
6885,1,0.001
7157,1,0.001
7226,1,0.001
7321,1,0.001
7325,1,0.001
7372,1,0.001
8735,1,0.001
8783,1,0.001
8858,1,0.001
9069,1,0.001
9203,1,0.001
9420,1,0.001
9445,1,0.001
9469,1,0.001
9737,1,0.001
9997,1,0.001
10237,1,0.001
11186,1,0.001
11402,1,0.001
11489,1,0.001
11515,1,0.001
11975,1,0.001
12312,1,0.001
12376,1,0.001
12807,1,0.001
12929,1,0.001
13095,1,0.001
13684,1,0.001
14319,1,0.001
14373,1,0.001
14395,1,0.001
14622,1,0.001
14704,1,0.001
14806,1,0.001
14817,1,0.001
14822,1,0.001
15557,1,0.001
16443,1,0.001
16456,1,0.001
16464,1,0.001
16588,1,0.001
16700,1,0.001
16729,1,0.001
17133,1,0.001
17746,1,0.001
17888,1,0.001
18148,1,0.001
18506,1,0.001
18559,1,0.001
18576,1,0.001
19277,1,0.001
19994,1,0.001
20025,1,0.001
20096,1,0.001
20735,1,0.001
20849,1,0.001
20864,1,0.001
21431,1,0.001
21781,1,0.001
21969,1,0.001
22029,1,0.001
22488,1,0.001
22610,1,0.001
22679,1,0.001
24039,1,0.001
24886,1,0.001
25011,1,0.001
25318,1,0.001
25330,1,0.001
25793,1,0.001
25850,1,0.001
26562,1,0.001
27017,1,0.001
27242,1,0.001
27350,1,0.001
27472,1,0.001
28113,1,0.001
28190,1,0.001
28203,1,0.001
28522,1,0.001
28748,1,0.001
29156,1,0.001
29273,1,0.001
29447,1,0.001
29706,1,0.001
29812,1,0.001
30127,1,0.001
30384,1,0.001
30418,1,0.001
31199,1,0.001
31412,1,0.001
31973,1,0.001
32754,1,0.001
