x,count,prob
0,2,0.002
1,1,0.001
2,5,0.0049
3,2,0.002
4,2,0.002
5,5,0.0049
6,3,0.0029
8,2,0.002
9,3,0.0029
11,3,0.0029
13,4,0.0039
14,3,0.0029
17,1,0.001
19,1,0.001
22,2,0.002
30,6,0.0059
31,1,0.001
32,8,0.0078
33,2,0.002
34,2,0.002
35,1,0.001
36,3,0.0029
37,2,0.002
38,22,0.0215
39,1,0.001
41,2,0.002
42,1,0.001
43,1,0.001
44,1,0.001
45,1,0.001
46,2,0.002
47,1,0.001
48,4,0.0039
49,2,0.002
50,3,0.0029
51,3,0.0029
54,2,0.002
58,2,0.002
59,7,0.0068
60,1,0.001
62,3,0.0029
63,2,0.002
64,1,0.001
65,1,0.001
68,1,0.001
70,9,0.0088
77,2,0.002
78,1,0.001
84,1,0.001
88,1,0.001
94,1,0.001
95,1,0.001
97,1,0.001
101,1,0.001
102,1,0.001
112,1,0.001
113,1,0.001
114,2,0.002
117,2,0.002
118,2,0.002
128,1,0.001
129,1,0.001
134,3,0.0029
136,1,0.001
137,2,0.002
141,2,0.002
145,1,0.001
149,2,0.002
156,2,0.002
157,2,0.002
158,1,0.001
159,1,0.001
161,1,0.001
164,2,0.002
166,3,0.0029
167,1,0.001
169,1,0.001
171,1,0.001
175,1,0.001
178,1,0.001
182,1,0.001
186,1,0.001
188,2,0.002
190,1,0.001
192,1,0.001
194,1,0.001
195,1,0.001
196,1,0.001
198,1,0.001
202,1,0.001
206,1,0.001
208,3,0.0029
210,1,0.001
213,1,0.001
214,2,0.002
215,2,0.002
217,3,0.0029
219,2,0.002
220,1,0.001
224,1,0.001
237,1,0.001
238,1,0.001
240,12,0.0117
241,1,0.001
242,2,0.002
243,1,0.001
245,5,0.0049
246,3,0.0029
247,2,0.002
248,2,0.002
252,3,0.0029
253,3,0.0029
256,1,0.001
259,1,0.001
260,1,0.001
261,3,0.0029
262,1,0.001
264,1,0.001
265,1,0.001
267,4,0.0039
269,3,0.0029
270,8,0.0078
272,2,0.002
274,2,0.002
281,2,0.002
282,1,0.001
285,1,0.001
286,2,0.002
287,1,0.001
288,5,0.0049
289,1,0.001
290,1,0.001
293,1,0.001
294,5,0.0049
296,1,0.001
297,1,0.001
299,4,0.0039
304,6,0.0059
306,3,0.0029
307,3,0.0029
308,1,0.001
309,1,0.001
310,3,0.0029
311,1,0.001
315,1,0.001
317,2,0.002
318,1,0.001
320,2,0.002
321,3,0.0029
322,1,0.001
324,2,0.002
326,17,0.0166
327,2,0.002
329,1,0.001
330,1,0.001
333,3,0.0029
334,3,0.0029
337,2,0.002
338,2,0.002
340,3,0.0029
342,1,0.001
343,1,0.001
346,2,0.002
347,2,0.002
350,3,0.0029
351,1,0.001
354,2,0.002
358,1,0.001
360,2,0.002
367,1,0.001
369,1,0.001
371,1,0.001
372,1,0.001
374,3,0.0029
376,4,0.0039
377,1,0.001
379,2,0.002
380,3,0.0029
381,5,0.0049
382,1,0.001
383,1,0.001
384,2,0.002
386,1,0.001
387,3,0.0029
388,1,0.001
389,5,0.0049
393,1,0.001
394,1,0.001
395,3,0.0029
398,4,0.0039
399,2,0.002
403,1,0.001
406,1,0.001
409,1,0.001
412,1,0.001
416,2,0.002
417,2,0.002
418,1,0.001
420,1,0.001
422,3,0.0029
427,1,0.001
432,4,0.0039
436,1,0.001
437,1,0.001
438,2,0.002
443,2,0.002
445,2,0.002
446,3,0.0029
448,1,0.001
449,4,0.0039
450,6,0.0059
452,1,0.001
453,3,0.0029
454,11,0.0107
456,1,0.001
458,1,0.001
459,3,0.0029
460,4,0.0039
462,5,0.0049
463,2,0.002
464,3,0.0029
466,1,0.001
467,1,0.001
468,1,0.001
469,3,0.0029
470,4,0.0039
471,1,0.001
472,1,0.001
473,1,0.001
474,1,0.001
480,5,0.0049
485,2,0.002
486,9,0.0088
487,1,0.001
488,3,0.0029
489,3,0.0029
490,2,0.002
491,3,0.0029
493,1,0.001
496,8,0.0078
498,2,0.002
500,2,0.002
501,6,0.0059
504,2,0.002
505,1,0.001
507,1,0.001
508,3,0.0029
509,2,0.002
510,3,0.0029
514,1,0.001
516,2,0.002
520,1,0.001
521,1,0.001
526,2,0.002
534,3,0.0029
544,2,0.002
546,1,0.001
547,1,0.001
550,2,0.002
552,1,0.001
558,1,0.001
560,3,0.0029
562,1,0.001
565,1,0.001
567,1,0.001
570,1,0.001
572,1,0.001
575,1,0.001
576,1,0.001
577,1,0.001
578,1,0.001
580,3,0.0029
581,1,0.001
582,1,0.001
587,1,0.001
590,3,0.0029
594,1,0.001
597,1,0.001
598,3,0.0029
606,3,0.0029
607,1,0.001
608,1,0.001
610,1,0.001
622,1,0.001
624,8,0.0078
625,2,0.002
626,4,0.0039
627,1,0.001
630,3,0.0029
636,2,0.002
637,4,0.0039
638,2,0.002
639,1,0.001
640,6,0.0059
645,1,0.001
648,2,0.002
649,4,0.0039
653,3,0.0029
654,2,0.002
656,1,0.001
658,2,0.002
659,1,0.001
662,2,0.002
666,2,0.002
667,1,0.001
668,1,0.001
670,1,0.001
672,2,0.002
673,2,0.002
674,1,0.001
677,3,0.0029
678,9,0.0088
680,1,0.001
682,1,0.001
683,2,0.002
684,3,0.0029
685,1,0.001
686,1,0.001
687,1,0.001
688,4,0.0039
690,3,0.0029
691,1,0.001
692,2,0.002
693,1,0.001
694,3,0.0029
698,4,0.0039
699,1,0.001
703,2,0.002
705,1,0.001
707,2,0.002
713,3,0.0029
714,1,0.001
717,1,0.001
720,1,0.001
722,1,0.001
724,2,0.002
727,1,0.001
734,1,0.001
736,1,0.001
738,1,0.001
740,1,0.001
741,1,0.001
742,6,0.0059
746,2,0.002
748,1,0.001
750,5,0.0049
752,1,0.001
754,1,0.001
756,1,0.001
757,3,0.0029
758,2,0.002
760,2,0.002
761,2,0.002
762,3,0.0029
763,3,0.0029
764,2,0.002
767,1,0.001
769,1,0.001
770,2,0.002
772,1,0.001
774,3,0.0029
777,1,0.001
788,1,0.001
798,1,0.001
802,1,0.001
