x,count,prob
0,4,0.0039
1,4,0.0039
2,1,0.001
8,2,0.002
10,1,0.001
11,1,0.001
13,2,0.002
14,2,0.002
15,2,0.002
16,2,0.002
20,1,0.001
21,3,0.0029
22,1,0.001
32,3,0.0029
35,1,0.001
36,1,0.001
37,3,0.0029
38,1,0.001
39,2,0.002
40,1,0.001
41,2,0.002
42,1,0.001
45,1,0.001
46,2,0.002
48,1,0.001
49,1,0.001
50,2,0.002
55,5,0.0049
57,4,0.0039
58,3,0.0029
62,3,0.0029
64,1,0.001
65,1,0.001
66,2,0.002
69,3,0.0029
70,1,0.001
71,1,0.001
72,2,0.002
76,1,0.001
79,1,0.001
80,3,0.0029
81,2,0.002
82,1,0.001
84,5,0.0049
87,4,0.0039
89,1,0.001
90,1,0.001
92,1,0.001
95,1,0.001
98,1,0.001
100,1,0.001
103,1,0.001
105,4,0.0039
109,1,0.001
110,1,0.001
113,1,0.001
114,4,0.0039
115,1,0.001
118,1,0.001
119,1,0.001
120,2,0.002
123,2,0.002
124,1,0.001
125,2,0.002
127,3,0.0029
132,4,0.0039
133,4,0.0039
134,1,0.001
136,1,0.001
139,1,0.001
140,1,0.001
142,1,0.001
143,1,0.001
146,1,0.001
148,1,0.001
150,3,0.0029
152,1,0.001
159,2,0.002
161,1,0.001
163,4,0.0039
166,1,0.001
172,5,0.0049
173,1,0.001
176,2,0.002
178,1,0.001
179,3,0.0029
180,2,0.002
184,2,0.002
186,2,0.002
187,1,0.001
188,4,0.0039
189,1,0.001
190,1,0.001
192,2,0.002
195,4,0.0039
196,1,0.001
199,2,0.002
200,2,0.002
201,2,0.002
203,2,0.002
210,1,0.001
213,4,0.0039
215,3,0.0029
218,1,0.001
219,3,0.0029
221,2,0.002
222,1,0.001
225,1,0.001
227,1,0.001
228,1,0.001
229,1,0.001
231,1,0.001
233,3,0.0029
234,1,0.001
235,2,0.002
237,3,0.0029
238,1,0.001
241,1,0.001
243,1,0.001
244,1,0.001
245,2,0.002
247,2,0.002
249,1,0.001
250,1,0.001
252,1,0.001
254,2,0.002
257,1,0.001
258,1,0.001
259,1,0.001
261,3,0.0029
262,1,0.001
263,1,0.001
265,1,0.001
266,1,0.001
269,1,0.001
270,2,0.002
271,3,0.0029
272,7,0.0068
273,2,0.002
274,4,0.0039
275,1,0.001
280,1,0.001
282,1,0.001
283,2,0.002
285,3,0.0029
289,1,0.001
294,1,0.001
295,3,0.0029
296,4,0.0039
297,1,0.001
300,1,0.001
301,2,0.002
304,5,0.0049
306,5,0.0049
308,4,0.0039
311,2,0.002
313,1,0.001
316,2,0.002
317,2,0.002
318,1,0.001
319,2,0.002
320,3,0.0029
322,1,0.001
324,2,0.002
325,1,0.001
326,1,0.001
327,4,0.0039
329,3,0.0029
330,3,0.0029
333,1,0.001
334,1,0.001
337,2,0.002
339,1,0.001
340,2,0.002
341,1,0.001
342,1,0.001
343,1,0.001
345,4,0.0039
346,4,0.0039
348,3,0.0029
350,1,0.001
355,3,0.0029
356,2,0.002
357,1,0.001
358,2,0.002
359,1,0.001
360,2,0.002
363,12,0.0117
364,1,0.001
367,1,0.001
369,1,0.001
370,2,0.002
372,3,0.0029
374,1,0.001
377,2,0.002
380,5,0.0049
381,5,0.0049
382,1,0.001
383,3,0.0029
386,1,0.001
387,2,0.002
388,1,0.001
389,1,0.001
391,1,0.001
392,2,0.002
395,2,0.002
396,1,0.001
398,2,0.002
401,1,0.001
402,3,0.0029
408,4,0.0039
409,1,0.001
411,2,0.002
413,2,0.002
414,3,0.0029
415,1,0.001
417,1,0.001
418,5,0.0049
419,1,0.001
420,1,0.001
421,3,0.0029
424,1,0.001
425,1,0.001
427,1,0.001
430,1,0.001
434,1,0.001
435,2,0.002
437,1,0.001
441,1,0.001
444,3,0.0029
445,2,0.002
447,1,0.001
449,1,0.001
451,1,0.001
452,4,0.0039
456,2,0.002
457,2,0.002
459,2,0.002
462,1,0.001
463,1,0.001
466,2,0.002
467,4,0.0039
469,1,0.001
471,1,0.001
473,2,0.002
474,3,0.0029
475,4,0.0039
477,1,0.001
478,1,0.001
480,1,0.001
481,2,0.002
484,2,0.002
485,1,0.001
487,5,0.0049
490,2,0.002
491,5,0.0049
492,2,0.002
493,2,0.002
496,3,0.0029
497,2,0.002
498,1,0.001
500,2,0.002
502,1,0.001
504,3,0.0029
505,2,0.002
507,1,0.001
509,5,0.0049
511,1,0.001
512,2,0.002
515,1,0.001
517,1,0.001
518,5,0.0049
523,3,0.0029
524,3,0.0029
528,3,0.0029
529,1,0.001
530,5,0.0049
532,1,0.001
534,2,0.002
535,1,0.001
537,2,0.002
538,1,0.001
539,1,0.001
540,1,0.001
541,4,0.0039
542,3,0.0029
544,1,0.001
546,8,0.0078
550,3,0.0029
553,1,0.001
554,2,0.002
555,1,0.001
557,1,0.001
559,1,0.001
560,2,0.002
565,1,0.001
567,1,0.001
569,1,0.001
573,2,0.002
574,1,0.001
575,1,0.001
576,1,0.001
581,6,0.0059
583,1,0.001
585,2,0.002
586,1,0.001
588,1,0.001
591,2,0.002
592,3,0.0029
593,1,0.001
595,1,0.001
596,1,0.001
601,1,0.001
603,2,0.002
606,1,0.001
608,1,0.001
609,3,0.0029
615,1,0.001
617,2,0.002
619,3,0.0029
621,1,0.001
622,1,0.001
623,1,0.001
624,1,0.001
627,4,0.0039
629,1,0.001
631,1,0.001
633,1,0.001
634,2,0.002
635,1,0.001
637,2,0.002
641,1,0.001
645,1,0.001
648,1,0.001
650,1,0.001
657,1,0.001
660,1,0.001
661,3,0.0029
662,4,0.0039
664,1,0.001
665,1,0.001
666,1,0.001
667,5,0.0049
668,3,0.0029
669,3,0.0029
671,1,0.001
673,6,0.0059
674,6,0.0059
676,3,0.0029
677,1,0.001
678,1,0.001
679,1,0.001
680,1,0.001
681,1,0.001
682,1,0.001
685,6,0.0059
687,2,0.002
688,1,0.001
691,1,0.001
692,1,0.001
694,1,0.001
695,1,0.001
696,1,0.001
697,1,0.001
701,1,0.001
709,3,0.0029
710,1,0.001
712,4,0.0039
713,1,0.001
714,1,0.001
715,1,0.001
718,1,0.001
719,1,0.001
721,1,0.001
722,1,0.001
723,1,0.001
724,2,0.002
725,1,0.001
727,6,0.0059
729,3,0.0029
731,1,0.001
732,1,0.001
733,3,0.0029
739,1,0.001
741,1,0.001
743,1,0.001
744,1,0.001
746,3,0.0029
749,1,0.001
750,2,0.002
751,3,0.0029
753,2,0.002
754,1,0.001
755,1,0.001
756,2,0.002
757,1,0.001
759,1,0.001
762,2,0.002
764,1,0.001
766,3,0.0029
767,1,0.001
768,1,0.001
772,1,0.001
773,1,0.001
776,1,0.001
777,1,0.001
783,2,0.002
784,3,0.0029
785,1,0.001
788,2,0.002
789,1,0.001
791,1,0.001
792,3,0.0029
793,7,0.0068
797,2,0.002
798,1,0.001
800,2,0.002
801,2,0.002
802,2,0.002
803,5,0.0049
804,3,0.0029
805,3,0.0029
808,1,0.001
809,2,0.002
811,3,0.0029
812,2,0.002
814,1,0.001
815,1,0.001
816,1,0.001
817,1,0.001
822,2,0.002
827,1,0.001
828,1,0.001
831,1,0.001
832,4,0.0039
833,1,0.001
834,1,0.001
835,1,0.001
836,2,0.002
837,1,0.001
838,1,0.001
841,1,0.001
843,1,0.001
845,2,0.002
847,3,0.0029
848,4,0.0039
849,1,0.001
850,2,0.002
851,4,0.0039
852,1,0.001
855,1,0.001
858,1,0.001
860,1,0.001
862,1,0.001
863,1,0.001
865,1,0.001
866,3,0.0029
867,4,0.0039
870,1,0.001
871,2,0.002
874,3,0.0029
875,3,0.0029
876,5,0.0049
878,3,0.0029
879,1,0.001
881,2,0.002
882,2,0.002
883,1,0.001
885,2,0.002
886,2,0.002
887,2,0.002
889,1,0.001
894,1,0.001
895,1,0.001
898,1,0.001
899,1,0.001
900,1,0.001
906,1,0.001
908,1,0.001
909,1,0.001
910,1,0.001
915,1,0.001
916,2,0.002
917,1,0.001
918,1,0.001
921,3,0.0029
924,2,0.002
925,7,0.0068
927,2,0.002
929,2,0.002
933,2,0.002
935,1,0.001
936,3,0.0029
937,2,0.002
939,1,0.001
940,1,0.001
942,2,0.002
943,2,0.002
944,1,0.001
945,4,0.0039
946,1,0.001
