x,count,prob
8,2,0.002
23,1,0.001
27,1,0.001
30,1,0.001
31,1,0.001
35,1,0.001
51,1,0.001
60,2,0.002
73,1,0.001
91,1,0.001
110,1,0.001
135,1,0.001
140,1,0.001
146,1,0.001
148,1,0.001
149,1,0.001
157,1,0.001
165,1,0.001
167,1,0.001
172,1,0.001
182,1,0.001
209,1,0.001
227,1,0.001
228,1,0.001
233,1,0.001
250,1,0.001
265,1,0.001
266,1,0.001
270,1,0.001
277,1,0.001
292,1,0.001
329,1,0.001
344,1,0.001
345,1,0.001
358,1,0.001
365,1,0.001
373,1,0.001
391,1,0.001
400,2,0.002
402,1,0.001
413,1,0.001
422,1,0.001
429,1,0.001
433,2,0.002
437,1,0.001
444,1,0.001
447,1,0.001
452,1,0.001
462,2,0.002
466,1,0.001
470,1,0.001
479,2,0.002
486,1,0.001
503,1,0.001
540,1,0.001
551,1,0.001
568,1,0.001
575,1,0.001
578,1,0.001
579,1,0.001
581,1,0.001
594,1,0.001
603,1,0.001
604,1,0.001
606,1,0.001
614,2,0.002
621,1,0.001
622,1,0.001
625,1,0.001
631,1,0.001
642,1,0.001
646,1,0.001
656,1,0.001
660,1,0.001
664,1,0.001
673,1,0.001
683,1,0.001
689,1,0.001
712,3,0.0029
717,1,0.001
731,2,0.002
743,1,0.001
764,1,0.001
766,1,0.001
776,1,0.001
781,3,0.0029
792,1,0.001
793,1,0.001
798,1,0.001
810,1,0.001
815,1,0.001
819,1,0.001
839,1,0.001
844,1,0.001
860,1,0.001
862,1,0.001
881,1,0.001
882,1,0.001
908,1,0.001
912,1,0.001
916,1,0.001
918,1,0.001
924,1,0.001
925,2,0.002
928,1,0.001
944,1,0.001
954,2,0.002
961,1,0.001
962,1,0.001
1000,2,0.002
1001,1,0.001
1009,1,0.001
1013,1,0.001
