x,count,prob
0,1,0.001
4,1,0.001
5,1,0.001
9,1,0.001
10,3,0.0029
20,2,0.002
36,1,0.001
37,4,0.0039
45,1,0.001
47,1,0.001
48,1,0.001
53,1,0.001
64,4,0.0039
66,5,0.0049
70,1,0.001
72,1,0.001
73,5,0.0049
77,1,0.001
79,1,0.001
88,1,0.001
89,1,0.001
91,1,0.001
99,1,0.001
100,10,0.0098
101,16,0.0156
105,2,0.002
106,3,0.0029
107,2,0.002
108,4,0.0039
110,2,0.002
111,2,0.002
112,2,0.002
113,1,0.001
114,1,0.001
116,1,0.001
117,1,0.001
118,1,0.001
121,3,0.0029
122,1,0.001
123,1,0.001
125,1,0.001
128,1,0.001
132,2,0.002
134,1,0.001
136,1,0.001
137,2,0.002
138,1,0.001
139,3,0.0029
140,1,0.001
150,1,0.001
165,2,0.002
170,1,0.001
172,1,0.001
174,1,0.001
182,1,0.001
185,2,0.002
189,1,0.001
192,1,0.001
196,1,0.001
201,1,0.001
205,1,0.001
213,2,0.002
214,1,0.001
216,1,0.001
217,2,0.002
225,1,0.001
228,3,0.0029
229,2,0.002
233,2,0.002
240,1,0.001
244,1,0.001
249,1,0.001
256,2,0.002
258,1,0.001
259,2,0.002
260,4,0.0039
261,2,0.002
262,1,0.001
264,3,0.0029
265,8,0.0078
266,3,0.0029
267,3,0.0029
268,1,0.001
269,3,0.0029
270,1,0.001
272,3,0.0029
273,1,0.001
276,6,0.0059
277,2,0.002
280,1,0.001
281,3,0.0029
283,1,0.001
284,4,0.0039
288,1,0.001
292,2,0.002
293,6,0.0059
303,2,0.002
306,2,0.002
307,1,0.001
308,1,0.001
309,1,0.001
320,1,0.001
322,1,0.001
326,1,0.001
337,3,0.0029
342,2,0.002
343,1,0.001
345,1,0.001
353,2,0.002
355,2,0.002
356,8,0.0078
357,3,0.0029
361,2,0.002
362,1,0.001
366,1,0.001
367,1,0.001
368,1,0.001
370,1,0.001
372,2,0.002
376,2,0.002
377,5,0.0049
379,3,0.0029
380,1,0.001
381,1,0.001
385,1,0.001
388,3,0.0029
389,2,0.002
390,1,0.001
391,1,0.001
392,1,0.001
393,1,0.001
394,1,0.001
395,3,0.0029
396,2,0.002
397,1,0.001
405,1,0.001
407,2,0.002
409,1,0.001
411,1,0.001
417,2,0.002
420,2,0.002
421,1,0.001
427,2,0.002
440,1,0.001
441,1,0.001
444,1,0.001
445,1,0.001
452,1,0.001
456,2,0.002
457,3,0.0029
460,1,0.001
472,1,0.001
476,1,0.001
483,1,0.001
489,1,0.001
492,1,0.001
497,2,0.002
500,2,0.002
501,1,0.001
502,1,0.001
504,1,0.001
505,5,0.0049
507,2,0.002
513,3,0.0029
514,2,0.002
516,3,0.0029
517,4,0.0039
518,3,0.0029
520,1,0.001
521,8,0.0078
522,2,0.002
523,2,0.002
524,2,0.002
528,2,0.002
532,2,0.002
534,1,0.001
536,1,0.001
537,2,0.002
541,1,0.001
542,1,0.001
544,2,0.002
545,4,0.0039
548,7,0.0068
549,11,0.0107
551,1,0.001
553,1,0.001
558,2,0.002
559,1,0.001
560,1,0.001
562,1,0.001
564,1,0.001
568,1,0.001
569,2,0.002
570,1,0.001
571,1,0.001
572,1,0.001
578,1,0.001
580,2,0.002
585,1,0.001
586,1,0.001
594,1,0.001
595,1,0.001
596,2,0.002
598,1,0.001
612,2,0.002
613,1,0.001
619,2,0.002
623,1,0.001
640,1,0.001
642,1,0.001
644,2,0.002
649,2,0.002
650,1,0.001
652,1,0.001
657,1,0.001
661,1,0.001
663,1,0.001
677,4,0.0039
678,1,0.001
683,1,0.001
690,1,0.001
697,1,0.001
700,1,0.001
701,1,0.001
705,1,0.001
706,1,0.001
709,1,0.001
710,2,0.002
712,1,0.001
713,4,0.0039
715,1,0.001
720,1,0.001
724,1,0.001
727,1,0.001
729,1,0.001
730,2,0.002
731,1,0.001
740,7,0.0068
741,1,0.001
742,1,0.001
745,6,0.0059
746,1,0.001
747,4,0.0039
748,4,0.0039
749,1,0.001
752,1,0.001
754,2,0.002
756,4,0.0039
757,1,0.001
759,1,0.001
761,9,0.0088
762,1,0.001
764,2,0.002
765,1,0.001
768,8,0.0078
769,1,0.001
770,3,0.0029
772,1,0.001
774,1,0.001
776,3,0.0029
777,5,0.0049
778,1,0.001
779,1,0.001
780,1,0.001
781,2,0.002
784,1,0.001
785,3,0.0029
786,1,0.001
788,6,0.0059
789,9,0.0088
790,1,0.001
793,1,0.001
795,1,0.001
796,2,0.002
798,1,0.001
800,1,0.001
802,1,0.001
803,1,0.001
807,1,0.001
808,1,0.001
809,2,0.002
810,1,0.001
814,2,0.002
815,1,0.001
818,2,0.002
819,1,0.001
820,3,0.0029
821,4,0.0039
826,1,0.001
827,1,0.001
831,1,0.001
832,5,0.0049
833,4,0.0039
834,4,0.0039
835,4,0.0039
836,6,0.0059
837,1,0.001
838,1,0.001
839,2,0.002
840,3,0.0029
841,22,0.0215
842,2,0.002
843,11,0.0107
844,4,0.0039
845,5,0.0049
846,1,0.001
847,1,0.001
848,3,0.0029
849,1,0.001
852,3,0.0029
853,1,0.001
854,1,0.001
856,1,0.001
857,6,0.0059
858,2,0.002
859,1,0.001
861,1,0.001
863,1,0.001
865,9,0.0088
867,1,0.001
868,38,0.0371
869,33,0.0322
870,7,0.0068
873,6,0.0059
874,3,0.0029
875,4,0.0039
876,3,0.0029
878,3,0.0029
879,6,0.0059
880,6,0.0059
881,1,0.001
882,5,0.0049
883,1,0.001
884,1,0.001
886,3,0.0029
887,2,0.002
888,8,0.0078
889,22,0.0215
890,3,0.0029
891,4,0.0039
892,7,0.0068
893,5,0.0049
894,1,0.001
895,1,0.001
896,3,0.0029
897,1,0.001
898,2,0.002
900,10,0.0098
901,5,0.0049
902,5,0.0049
904,1,0.001
905,9,0.0088
906,1,0.001
907,5,0.0049
908,1,0.001
910,1,0.001
912,8,0.0078
914,1,0.001
916,7,0.0068
917,7,0.0068
919,3,0.0029
920,1,0.001
921,7,0.0068
922,1,0.001
