x,count,prob
4,1,0.001
7,1,0.001
8,1,0.001
11,1,0.001
16,1,0.001
18,1,0.001
23,1,0.001
24,1,0.001
26,2,0.002
28,1,0.001
29,1,0.001
31,1,0.001
33,1,0.001
34,3,0.0029
35,1,0.001
39,4,0.0039
44,1,0.001
45,2,0.002
48,1,0.001
50,1,0.001
55,1,0.001
62,1,0.001
63,1,0.001
64,1,0.001
66,1,0.001
71,1,0.001
73,1,0.001
74,2,0.002
77,2,0.002
80,3,0.0029
82,1,0.001
83,1,0.001
84,1,0.001
87,2,0.002
88,3,0.0029
89,1,0.001
90,1,0.001
91,1,0.001
92,5,0.0049
93,1,0.001
95,2,0.002
96,1,0.001
98,1,0.001
99,1,0.001
103,1,0.001
108,3,0.0029
109,3,0.0029
112,3,0.0029
113,1,0.001
117,2,0.002
118,2,0.002
121,3,0.0029
122,7,0.0068
127,1,0.001
130,1,0.001
132,2,0.002
135,8,0.0078
138,1,0.001
139,4,0.0039
141,1,0.001
142,1,0.001
145,2,0.002
146,1,0.001
154,1,0.001
156,1,0.001
164,1,0.001
170,4,0.0039
172,2,0.002
177,2,0.002
183,2,0.002
185,2,0.002
186,3,0.0029
191,1,0.001
203,1,0.001
205,1,0.001
224,1,0.001
229,2,0.002
234,2,0.002
236,1,0.001
240,4,0.0039
250,1,0.001
251,1,0.001
252,1,0.001
254,1,0.001
255,1,0.001
257,1,0.001
266,3,0.0029
272,2,0.002
274,1,0.001
279,1,0.001
281,2,0.002
292,1,0.001
293,2,0.002
294,1,0.001
297,3,0.0029
298,3,0.0029
301,1,0.001
302,1,0.001
303,1,0.001
311,1,0.001
313,1,0.001
317,2,0.002
320,1,0.001
321,1,0.001
322,1,0.001
327,2,0.002
338,1,0.001
343,4,0.0039
345,2,0.002
346,1,0.001
360,2,0.002
362,2,0.002
363,1,0.001
365,1,0.001
368,2,0.002
370,1,0.001
371,1,0.001
372,1,0.001
373,1,0.001
375,2,0.002
376,1,0.001
377,1,0.001
380,1,0.001
383,4,0.0039
386,1,0.001
388,1,0.001
390,2,0.002
391,4,0.0039
392,2,0.002
393,2,0.002
395,1,0.001
396,1,0.001
398,2,0.002
401,1,0.001
403,1,0.001
406,1,0.001
409,3,0.0029
410,4,0.0039
412,2,0.002
413,1,0.001
418,1,0.001
419,2,0.002
420,1,0.001
421,1,0.001
424,1,0.001
426,4,0.0039
427,2,0.002
432,2,0.002
436,1,0.001
439,3,0.0029
441,2,0.002
442,3,0.0029
446,2,0.002
448,1,0.001
453,1,0.001
454,1,0.001
457,2,0.002
460,2,0.002
464,1,0.001
