x,count,prob
5354,2,0.002
5358,1,0.001
5602,1,0.001
6058,1,0.001
6114,1,0.001
9698,1,0.001
9706,1,0.001
9961,1,0.001
10201,1,0.001
10989,1,0.001
17626,1,0.001
17638,1,0.001
17642,1,0.001
17645,1,0.001
17893,1,0.001
17897,1,0.001
18145,1,0.001
18146,1,0.001
18154,1,0.001
18914,1,0.001
19182,1,0.001
19682,1,0.001
20194,1,0.001
20718,1,0.001
21217,1,0.001
21462,1,0.001
21546,1,0.001
21674,1,0.001
21714,1,0.001
21725,1,0.001
21726,1,0.001
21729,1,0.001
21730,7,0.0068
21733,1,0.001
21734,1,0.001
21737,3,0.0029
21738,8,0.0078
21742,5,0.0049
21926,1,0.001
21985,1,0.001
21988,1,0.001
21993,1,0.001
21994,5,0.0049
21997,1,0.001
21998,1,0.001
22058,1,0.001
22234,1,0.001
22241,1,0.001
22242,2,0.002
22246,3,0.0029
22250,2,0.002
22252,1,0.001
22254,3,0.0029
22314,1,0.001
22319,1,0.001
22434,1,0.001
22446,1,0.001
22497,1,0.001
22498,3,0.0029
22505,1,0.001
22510,4,0.0039
22698,1,0.001
22762,1,0.001
23277,1,0.001
23522,1,0.001
23526,1,0.001
23533,1,0.001
23785,2,0.002
24042,1,0.001
25822,1,0.001
25826,1,0.001
25829,1,0.001
25834,2,0.002
25836,1,0.001
25838,1,0.001
26085,1,0.001
26094,1,0.001
26334,1,0.001
26342,2,0.002
26349,1,0.001
26594,2,0.002
26597,1,0.001
26606,1,0.001
27113,1,0.001
27114,1,0.001
27309,1,0.001
27629,1,0.001
29926,1,0.001
29930,1,0.001
