x,count,prob
0,1,0.001
1,2,0.002
2,2,0.002
4,2,0.002
7,1,0.001
8,1,0.001
9,2,0.002
10,2,0.002
11,1,0.001
12,1,0.001
15,1,0.001
17,2,0.002
18,2,0.002
20,3,0.0029
22,1,0.001
23,1,0.001
24,3,0.0029
25,2,0.002
30,1,0.001
32,3,0.0029
33,3,0.0029
36,3,0.0029
38,4,0.0039
39,2,0.002
42,1,0.001
43,3,0.0029
44,7,0.0068
45,4,0.0039
47,2,0.002
48,2,0.002
49,2,0.002
50,1,0.001
51,1,0.001
52,2,0.002
53,9,0.0088
54,1,0.001
58,1,0.001
59,1,0.001
62,2,0.002
66,1,0.001
68,2,0.002
69,8,0.0078
70,2,0.002
71,1,0.001
74,1,0.001
75,1,0.001
76,1,0.001
81,1,0.001
82,1,0.001
85,1,0.001
88,3,0.0029
90,3,0.0029
93,7,0.0068
94,2,0.002
95,1,0.001
96,1,0.001
97,4,0.0039
98,1,0.001
99,1,0.001
101,1,0.001
102,4,0.0039
104,3,0.0029
105,1,0.001
107,2,0.002
108,5,0.0049
111,1,0.001
113,2,0.002
117,1,0.001
118,2,0.002
120,1,0.001
121,1,0.001
122,2,0.002
124,2,0.002
125,5,0.0049
132,3,0.0029
134,2,0.002
141,1,0.001
142,1,0.001
143,3,0.0029
144,1,0.001
149,1,0.001
152,1,0.001
155,1,0.001
161,2,0.002
162,4,0.0039
163,2,0.002
166,1,0.001
167,3,0.0029
168,2,0.002
169,1,0.001
171,1,0.001
174,1,0.001
176,5,0.0049
181,1,0.001
182,1,0.001
183,2,0.002
184,1,0.001
186,1,0.001
187,1,0.001
188,1,0.001
196,6,0.0059
197,1,0.001
199,1,0.001
206,2,0.002
207,1,0.001
208,5,0.0049
210,1,0.001
211,1,0.001
213,1,0.001
216,4,0.0039
218,3,0.0029
222,3,0.0029
225,1,0.001
227,2,0.002
232,3,0.0029
235,1,0.001
237,1,0.001
238,1,0.001
239,1,0.001
241,1,0.001
244,2,0.002
245,1,0.001
247,3,0.0029
250,1,0.001
251,2,0.002
253,1,0.001
254,1,0.001
257,1,0.001
259,1,0.001
260,1,0.001
261,2,0.002
262,1,0.001
264,3,0.0029
265,4,0.0039
266,3,0.0029
267,1,0.001
269,2,0.002
270,1,0.001
273,2,0.002
276,2,0.002
279,1,0.001
281,2,0.002
282,1,0.001
287,1,0.001
288,2,0.002
293,2,0.002
295,1,0.001
298,7,0.0068
299,1,0.001
