x,count,prob
3,1,0.001
5,4,0.0039
8,1,0.001
9,5,0.0049
10,3,0.0029
12,2,0.002
15,5,0.0049
17,1,0.001
19,5,0.0049
20,1,0.001
21,5,0.0049
23,1,0.001
24,3,0.0029
26,3,0.0029
28,2,0.002
30,1,0.001
33,2,0.002
35,8,0.0078
40,2,0.002
41,2,0.002
46,3,0.0029
48,1,0.001
49,2,0.002
51,5,0.0049
58,1,0.001
60,1,0.001
63,1,0.001
65,1,0.001
68,3,0.0029
69,4,0.0039
70,1,0.001
71,2,0.002
72,1,0.001
74,1,0.001
75,1,0.001
76,3,0.0029
78,1,0.001
80,2,0.002
82,1,0.001
83,2,0.002
85,3,0.0029
87,1,0.001
88,1,0.001
91,2,0.002
93,1,0.001
95,1,0.001
98,1,0.001
99,3,0.0029
100,1,0.001
104,3,0.0029
105,1,0.001
107,1,0.001
108,1,0.001
112,1,0.001
113,10,0.0098
114,2,0.002
116,1,0.001
117,3,0.0029
119,1,0.001
122,5,0.0049
123,2,0.002
124,1,0.001
125,1,0.001
126,3,0.0029
128,7,0.0068
129,3,0.0029
130,1,0.001
131,1,0.001
132,1,0.001
133,4,0.0039
135,2,0.002
138,4,0.0039
139,1,0.001
140,4,0.0039
142,1,0.001
143,1,0.001
147,1,0.001
148,3,0.0029
149,1,0.001
151,1,0.001
152,1,0.001
153,1,0.001
156,1,0.001
157,2,0.002
158,1,0.001
160,2,0.002
161,3,0.0029
167,3,0.0029
168,1,0.001
170,1,0.001
171,1,0.001
175,3,0.0029
176,2,0.002
186,1,0.001
187,3,0.0029
189,1,0.001
190,1,0.001
191,1,0.001
192,3,0.0029
195,1,0.001
198,5,0.0049
199,2,0.002
200,1,0.001
201,6,0.0059
205,3,0.0029
206,1,0.001
209,2,0.002
210,3,0.0029
213,7,0.0068
216,3,0.0029
222,1,0.001
224,1,0.001
227,1,0.001
230,2,0.002
233,5,0.0049
234,2,0.002
235,1,0.001
237,2,0.002
239,1,0.001
240,3,0.0029
243,6,0.0059
244,1,0.001
245,1,0.001
246,3,0.0029
252,1,0.001
253,1,0.001
260,1,0.001
262,2,0.002
264,1,0.001
265,2,0.002
269,1,0.001
270,1,0.001
272,3,0.0029
273,2,0.002
274,1,0.001
275,2,0.002
278,1,0.001
279,1,0.001
280,3,0.0029
286,1,0.001
289,1,0.001
291,6,0.0059
293,7,0.0068
296,1,0.001
297,1,0.001
298,1,0.001
302,1,0.001
305,3,0.0029
306,1,0.001
307,1,0.001
308,1,0.001
309,1,0.001
310,1,0.001
312,1,0.001
313,1,0.001
314,1,0.001
315,2,0.002
316,1,0.001
317,6,0.0059
318,1,0.001
319,2,0.002
321,4,0.0039
323,1,0.001
329,1,0.001
330,2,0.002
332,1,0.001
333,1,0.001
335,1,0.001
336,1,0.001
337,5,0.0049
338,1,0.001
340,1,0.001
341,2,0.002
343,2,0.002
344,1,0.001
345,6,0.0059
346,8,0.0078
349,2,0.002
352,4,0.0039
353,2,0.002
354,1,0.001
355,1,0.001
357,2,0.002
358,2,0.002
361,1,0.001
363,1,0.001
366,1,0.001
370,1,0.001
372,1,0.001
376,1,0.001
377,1,0.001
378,1,0.001
382,5,0.0049
384,3,0.0029
385,2,0.002
386,1,0.001
389,1,0.001
390,2,0.002
391,2,0.002
394,3,0.0029
395,1,0.001
396,3,0.0029
400,2,0.002
401,2,0.002
402,1,0.001
405,1,0.001
408,1,0.001
414,3,0.0029
415,3,0.0029
416,1,0.001
417,9,0.0088
418,1,0.001
419,1,0.001
420,1,0.001
421,2,0.002
422,1,0.001
423,4,0.0039
424,1,0.001
426,3,0.0029
427,3,0.0029
428,2,0.002
429,2,0.002
430,3,0.0029
431,2,0.002
432,1,0.001
434,2,0.002
435,6,0.0059
436,1,0.001
437,3,0.0029
438,4,0.0039
440,1,0.001
441,4,0.0039
442,2,0.002
443,1,0.001
444,4,0.0039
448,6,0.0059
450,1,0.001
451,4,0.0039
452,4,0.0039
455,6,0.0059
456,1,0.001
457,6,0.0059
458,1,0.001
459,1,0.001
460,7,0.0068
462,1,0.001
464,5,0.0049
466,1,0.001
469,4,0.0039
471,1,0.001
472,2,0.002
474,1,0.001
478,2,0.002
480,3,0.0029
481,1,0.001
482,2,0.002
484,2,0.002
485,7,0.0068
487,1,0.001
488,4,0.0039
489,8,0.0078
490,2,0.002
491,2,0.002
492,2,0.002
497,1,0.001
499,1,0.001
500,1,0.001
501,6,0.0059
504,1,0.001
509,2,0.002
510,2,0.002
511,1,0.001
512,1,0.001
516,1,0.001
520,2,0.002
521,2,0.002
523,1,0.001
524,1,0.001
525,2,0.002
526,1,0.001
529,2,0.002
533,2,0.002
535,3,0.0029
536,1,0.001
538,1,0.001
539,1,0.001
541,7,0.0068
550,3,0.0029
552,1,0.001
555,1,0.001
556,1,0.001
557,1,0.001
559,1,0.001
562,5,0.0049
563,1,0.001
565,2,0.002
567,1,0.001
574,3,0.0029
580,1,0.001
581,1,0.001
582,1,0.001
585,1,0.001
586,1,0.001
591,3,0.0029
593,3,0.0029
596,3,0.0029
604,2,0.002
605,1,0.001
608,2,0.002
610,2,0.002
615,1,0.001
618,1,0.001
620,3,0.0029
622,1,0.001
623,2,0.002
625,1,0.001
627,1,0.001
629,1,0.001
633,3,0.0029
635,1,0.001
636,3,0.0029
639,2,0.002
640,6,0.0059
646,5,0.0049
647,1,0.001
649,1,0.001
650,1,0.001
651,3,0.0029
653,8,0.0078
657,1,0.001
659,5,0.0049
660,1,0.001
661,1,0.001
664,1,0.001
665,2,0.002
667,1,0.001
668,2,0.002
680,1,0.001
684,1,0.001
686,2,0.002
689,1,0.001
692,1,0.001
696,3,0.0029
698,1,0.001
701,1,0.001
704,3,0.0029
713,3,0.0029
716,1,0.001
718,1,0.001
723,1,0.001
724,1,0.001
725,2,0.002
726,2,0.002
727,1,0.001
729,1,0.001
730,1,0.001
731,2,0.002
733,2,0.002
734,4,0.0039
737,2,0.002
738,2,0.002
739,2,0.002
741,1,0.001
742,3,0.0029
743,1,0.001
746,1,0.001
747,1,0.001
750,2,0.002
751,1,0.001
754,1,0.001
755,1,0.001
756,1,0.001
757,1,0.001
760,3,0.0029
761,1,0.001
765,2,0.002
769,1,0.001
770,1,0.001
773,8,0.0078
775,1,0.001
777,3,0.0029
779,1,0.001
780,2,0.002
781,4,0.0039
782,2,0.002
787,2,0.002
790,4,0.0039
791,2,0.002
792,1,0.001
793,1,0.001
794,1,0.001
797,1,0.001
804,2,0.002
805,1,0.001
806,1,0.001
809,3,0.0029
810,2,0.002
813,2,0.002
814,1,0.001
822,2,0.002
825,2,0.002
828,1,0.001
830,1,0.001
832,1,0.001
834,4,0.0039
835,1,0.001
836,1,0.001
837,1,0.001
838,1,0.001
840,3,0.0029
841,11,0.0107
842,1,0.001
847,3,0.0029
850,3,0.0029
855,2,0.002
859,1,0.001
860,3,0.0029
862,1,0.001
870,2,0.002
871,1,0.001
873,3,0.0029
876,2,0.002
878,1,0.001
881,2,0.002
884,3,0.0029
885,3,0.0029
891,1,0.001
892,1,0.001
893,1,0.001
894,1,0.001
895,1,0.001
896,1,0.001
897,1,0.001
899,1,0.001
900,2,0.002
901,1,0.001
903,1,0.001
905,1,0.001
906,4,0.0039
908,4,0.0039
911,1,0.001
914,1,0.001
920,2,0.002
927,1,0.001
928,1,0.001
931,3,0.0029
932,1,0.001
933,1,0.001
934,1,0.001
940,2,0.002
944,1,0.001
945,3,0.0029
947,2,0.002
949,9,0.0088
952,1,0.001
953,3,0.0029
954,1,0.001
956,2,0.002
958,2,0.002
959,4,0.0039
961,4,0.0039
962,2,0.002
963,3,0.0029
964,2,0.002
965,2,0.002
967,1,0.001
970,1,0.001
972,5,0.0049
973,1,0.001
974,1,0.001
975,1,0.001
976,2,0.002
981,1,0.001
984,1,0.001
985,2,0.002
986,3,0.0029
990,2,0.002
992,1,0.001
996,1,0.001
1000,2,0.002
1002,2,0.002
1005,3,0.0029
1006,1,0.001
