
Host: Edens-MacBook-Air.local

Timers On : Fri Jul 23 21:50:25 2021
Timers Off: Fri Jul 23 21:55:47 2021

Wall Time:      322.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: DIIS                            :      0.083u      0.000s      0.061w     75 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.012w     75 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.006w     75 calls
| | bMatrix setup                   :      0.000u      0.000s      0.002w     75 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     75 calls
| | New vector                      :      0.000u      0.000s      0.001w     75 calls
HF: Form C                          :      0.000u      0.000s      0.003w     75 calls
CIWave: CIvect write                :      0.000u      0.017s      0.039w    810 calls
CIWave: CIvect read                 :      0.050u      0.083s      0.076w   4035 calls
CIWave: s2                          :      0.083u      0.000s      0.065w    210 calls
CIWave: s3                          :      0.250u      0.000s      0.222w    420 calls

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Fri Jul 23 23:27:20 2021
Timers Off: Sat Jul 24 17:15:23 2021

Wall Time:    14522.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.917u      0.017s      1.252w    105 calls
DFH: initialize()                   :      6.767u      0.533s      4.945w    105 calls
DFH: AO Construction                :      0.383u      0.017s      0.415w    105 calls
DFH: AO-Met. Contraction            :      0.050u      0.000s      0.021w    105 calls
HF: Form core H                     :      0.067u      0.183s      0.371w    105 calls
HF: Form S/X                        :      0.050u      0.017s      0.017w    105 calls
HF: Guess                           :     13.667u      0.517s      9.948w    105 calls
SAD Guess                           :     13.283u      0.483s      9.602w    105 calls
HF: Form G                          :      0.167u      0.050s      0.111w    675 calls
JK: D                               :      0.050u      0.017s      0.009w    675 calls
JK: USO2AO                          :      0.000u      0.017s      0.015w    675 calls
JK: JK                              :      0.050u      0.017s      0.060w    675 calls
DFH: compute_JK()                   :      0.050u      0.017s      0.057w    675 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    675 calls
DFH: compute_J                      :      0.000u      0.017s      0.015w    675 calls
DFH: compute_K                      :      0.050u      0.000s      0.028w    675 calls
JK: AO2USO                          :      0.017u      0.000s      0.006w    675 calls
HF: Form F                          :      0.000u      0.017s      0.009w    675 calls
HF: Form D                          :      0.017u      0.000s      0.005w    675 calls
HF: DIIS                            :      0.517u      0.167s      0.570w    570 calls
DIISManager::add_entry              :      0.050u      0.133s      0.101w    570 calls
DIISManager::extrapolate            :      0.033u      0.017s      0.055w    570 calls
bMatrix setup                       :      0.017u      0.000s      0.018w    570 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.020w    570 calls
New vector                          :      0.017u      0.000s      0.010w    570 calls
HF: Form C                          :      0.067u      0.000s      0.029w    570 calls
CIWave: CIvect write                :      0.017u      0.033s      0.062w   1878 calls
CIWave: CIvect read                 :      0.050u      0.100s      0.139w   9106 calls
CIWave: s2                          :      0.150u      0.017s      0.113w    792 calls
CIWave: s3                          :      0.567u      0.033s      0.416w   1734 calls
CIWave: s3_mt                       :      0.000u      0.000s      0.006w   2340 calls
ccenergy                            :      3.467u     16.467s     14.127w     30 calls
F build                             :      0.133u      0.133s      0.156w    245 calls
Wmbej build                         :      0.117u      0.067s      0.169w    245 calls
C->Wmbej                            :      0.000u      0.017s      0.015w    245 calls
F->Wmbej                            :      0.033u      0.017s      0.056w    245 calls
E->Wmbej                            :      0.000u      0.017s      0.033w    245 calls
X->Wmbej                            :      0.083u      0.017s      0.054w    245 calls
Z                                   :      0.000u      0.017s      0.009w    245 calls
T2 Build                            :      0.450u      0.167s      0.374w    245 calls
BT2                                 :      0.133u      0.033s      0.074w    245 calls
ABCD:new                            :      0.133u      0.033s      0.073w    245 calls
ABCD:S                              :      0.017u      0.000s      0.012w    245 calls
ABCD:A                              :      0.033u      0.017s      0.012w    245 calls
ABCD:axpy                           :      0.050u      0.000s      0.019w    245 calls
FT2                                 :      0.000u      0.000s      0.018w    245 calls
WmbejT2                             :      0.050u      0.033s      0.066w    245 calls
CT2                                 :      0.167u      0.067s      0.129w    245 calls
CIWave: s1                          :      0.000u      0.000s      0.001w    330 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.917u      0.017s      1.252w    105 calls
DFH: initialize()                   :      6.767u      0.533s      4.945w    105 calls
| DFH: AO Construction              :      0.383u      0.017s      0.415w    105 calls
| DFH: AO-Met. Contraction          :      0.050u      0.000s      0.021w    105 calls
HF: Form core H                     :      0.067u      0.183s      0.371w    105 calls
HF: Form S/X                        :      0.050u      0.017s      0.017w    105 calls
HF: Guess                           :     13.667u      0.517s      9.948w    105 calls
| SAD Guess                         :     13.283u      0.483s      9.602w    105 calls
HF: Form G                          :      0.167u      0.050s      0.111w    675 calls
| JK: D                             :      0.050u      0.017s      0.009w    675 calls
| JK: USO2AO                        :      0.000u      0.017s      0.015w    675 calls
| JK: JK                            :      0.050u      0.017s      0.060w    675 calls
| | DFH: compute_JK()               :      0.050u      0.017s      0.057w    675 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    675 calls
| | | DFH: compute_J                :      0.000u      0.017s      0.015w    675 calls
| | | DFH: compute_K                :      0.050u      0.000s      0.028w    675 calls
| JK: AO2USO                        :      0.017u      0.000s      0.006w    675 calls
HF: Form F                          :      0.000u      0.017s      0.009w    675 calls
HF: Form D                          :      0.017u      0.000s      0.005w    675 calls
HF: DIIS                            :      0.517u      0.167s      0.570w    570 calls
| DIISManager::add_entry            :      0.050u      0.133s      0.101w    570 calls
| DIISManager::extrapolate          :      0.033u      0.017s      0.055w    570 calls
| | bMatrix setup                   :      0.017u      0.000s      0.018w    570 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.020w    570 calls
| | New vector                      :      0.017u      0.000s      0.010w    570 calls
HF: Form C                          :      0.067u      0.000s      0.029w    570 calls
CIWave: CIvect write                :      0.017u      0.033s      0.062w   1878 calls
CIWave: CIvect read                 :      0.050u      0.100s      0.139w   9106 calls
CIWave: s2                          :      0.150u      0.017s      0.113w    792 calls
